,date,ticker,TWEETS,Vader Sentiment,Vader Analysis
24,2021-10-14,URA,@tenuredtrader One of my favorite sectors right now!   #Uranium #CCJ $URA $DNN $UUUU  https://t.co/njdsAwvOVu,0.5093,Positive
25,2021-10-14,DNN,@tenuredtrader One of my favorite sectors right now!   #Uranium #CCJ $URA $DNN $UUUU  https://t.co/njdsAwvOVu,0.5093,Positive
26,2021-10-14,UUUU,@tenuredtrader One of my favorite sectors right now!   #Uranium #CCJ $URA $DNN $UUUU  https://t.co/njdsAwvOVu,0.5093,Positive
27,2021-10-13,TASK,$TASK ... switched into second gear .... right at 2PM(algo happy hour)  https://t.co/Q4vPnO93QT,0.5719,Positive
28,2021-10-13,NUE,"Only a matter of time before the big rotation comes back into the Steel sector...   $NUE acting quiet as price action goes into deep contraction mode.... the ""calm before the storm""  https://t.co/hY946llOos",0.34,Neutral
29,2021-10-13,ANY,$10 price target on $ANY looks reasonable and do-able for a stock of this genre....  https://t.co/zQbtKM88jq,0.0,Neutral
30,2021-10-13,SPY,Do you see what i see??   If we close GREEN today on $SPY... we'll have our first attempt at a HIGHER LOW since the bottom on Oct 4th!   Study those charts on this thread carefully! Also try to think back at the time what your psychology was like? What you were feeling? etc  https://t.co/EgJ5Bm5Dun,0.4958,Neutral
31,2021-10-13,TASK,"This $TASK is only getting warmed up, imo   It's got at least another day like today left in the tank for this week  https://t.co/BLOK0bEWMR",0.5574,Positive
32,2021-10-13,ANY,Love the look on this $ANY   A big volume breakout from a beautiful base... followed by two back to back INSIDE DAY candles. This chart is pointing to a big range move higher tomorrow,0.8442,Positive
33,2021-10-13,TASK,Galloping strongly here ... we have a runner   $TASK  https://t.co/wwKL3CrnYd,0.2732,Neutral
34,2021-10-13,GDRX,Much better and more encouraging looking action from $GDRX .... after a very choppy first few days into this trade.  https://t.co/VYGfwogYYC,0.7645,Positive
35,2021-10-13,CCJ,$CCJ ... nice follow thru after yesterday's monster rally  https://t.co/JVNCnFxNjl,0.4215,Neutral
36,2021-10-13,AMD,$AMD breaking out?? Am I seeing this right?  https://t.co/hhRza1hzOk,0.0,Neutral
37,2021-10-13,DDOG,Very good relative strength in $DDOG versus the overall poor action in the indices   Printing new 52 week highs here  https://t.co/saJcfrcFXp,0.5509,Positive
38,2021-10-13,S,"$S ... bottoming pattern working well thus far here... if it takes out last week's highs, this one should really fly.  https://t.co/oBt9pRgJFf",0.2732,Neutral
39,2021-10-13,CCJ,@ScottBusch15 Cheers Scott   Nice move in $CCJ this week,0.7096,Positive
40,2021-10-13,TASK,"Keep an eye on this $TASK   When it moves, makes big, fast moves  https://t.co/CV1YDf8AEV",0.0,Neutral
41,2021-10-13,SE,@blankcheck1985 $SE would breakout from a bullish flag if it gets above last week's highs,0.0,Neutral
42,2021-10-13,CCJ,$CCJ .... ramping up nicely here... on a healthy pick up in volume too  https://t.co/XKfn9ttjaf,0.6808,Positive
43,2021-10-12,DDOG,$DDOG .... held up relatively well recently during the recent market turbulence....  Still looking for $160 to $170 targets on this one.  https://t.co/i5LtVh5JEG,0.2732,Neutral
44,2021-10-12,TASK,"$TASK ... new setup to watch   Made a beautiful PEG and post-PEG run up in August and September... now the stock is wedging nicely on the 50 day MA after a smooth, controlled pullback.   First targets: $70 to $72 area  https://t.co/9qEykkRjGH",0.7783,Positive
45,2021-10-12,CLF,Overall market action remains on choppy/weak side... but we are seeing a rotation back into the Steel sector...   $CLF leading the sector move higher this week  https://t.co/2ULLljT4YS,0.0,Neutral
46,2021-10-12,CCJ,After a few days of sideways chop action... $CCJ and Uranium sector finally getting some strong rotation today.  Targets back to the September highs at minimum  https://t.co/v5qcQE7AnN,0.5106,Positive
47,2021-10-12,GSAH,New interview by @SPACalpha highlighting the $GSAH/Mirion Technologies transaction   https://t.co/wBDHrMBxlz,0.0,Neutral
48,2021-10-17,AAPL,$AAPL Weekly catching a bid right at the demand zone.  https://t.co/0lKfWGRGI9,-0.128,Neutral
49,2021-10-16,CHWY,The Results! #LottoFriday  $CHWY Failed $NFLX Failed $NIO 37C | .28 to 1.3 [+364%] $ROKU 325P | .6 to 1.5 [+150%] $SNAP 78C | .31 to .95 [+206]  NFLX trade failed due to theta. NIO required you buy the open. SNAP trade only provided to the Elite ;)  Cheers and HAGW! 🍻,-0.7568,Negative
50,2021-10-16,NFLX,The Results! #LottoFriday  $CHWY Failed $NFLX Failed $NIO 37C | .28 to 1.3 [+364%] $ROKU 325P | .6 to 1.5 [+150%] $SNAP 78C | .31 to .95 [+206]  NFLX trade failed due to theta. NIO required you buy the open. SNAP trade only provided to the Elite ;)  Cheers and HAGW! 🍻,-0.7568,Negative
51,2021-10-16,NIO,The Results! #LottoFriday  $CHWY Failed $NFLX Failed $NIO 37C | .28 to 1.3 [+364%] $ROKU 325P | .6 to 1.5 [+150%] $SNAP 78C | .31 to .95 [+206]  NFLX trade failed due to theta. NIO required you buy the open. SNAP trade only provided to the Elite ;)  Cheers and HAGW! 🍻,-0.7568,Negative
52,2021-10-16,ROKU,The Results! #LottoFriday  $CHWY Failed $NFLX Failed $NIO 37C | .28 to 1.3 [+364%] $ROKU 325P | .6 to 1.5 [+150%] $SNAP 78C | .31 to .95 [+206]  NFLX trade failed due to theta. NIO required you buy the open. SNAP trade only provided to the Elite ;)  Cheers and HAGW! 🍻,-0.7568,Negative
53,2021-10-16,SNAP,The Results! #LottoFriday  $CHWY Failed $NFLX Failed $NIO 37C | .28 to 1.3 [+364%] $ROKU 325P | .6 to 1.5 [+150%] $SNAP 78C | .31 to .95 [+206]  NFLX trade failed due to theta. NIO required you buy the open. SNAP trade only provided to the Elite ;)  Cheers and HAGW! 🍻,-0.7568,Negative
54,2021-10-16,COIN,"$COIN Big test right here, nice move today on the back of bullish sweeper action. Looks great into next week if it can get through the supply level.  https://t.co/JBruy0qMND",0.7845,Positive
55,2021-10-16,SPY,If you're looking for a pro when it comes to futures than @Delta_Warrior1 is your man. Give him a follow ASAP! His plays are also applicable to $SPY and $QQQ etc.  All of these callouts were sent live via the brand new Theta Warrior Elite Discord. 👀,-0.2481,Neutral
56,2021-10-16,QQQ,If you're looking for a pro when it comes to futures than @Delta_Warrior1 is your man. Give him a follow ASAP! His plays are also applicable to $SPY and $QQQ etc.  All of these callouts were sent live via the brand new Theta Warrior Elite Discord. 👀,-0.2481,Neutral
57,2021-10-16,SNAP,$SNAP Sweeper Alert 🧹  976 x 21JAN22 75C = $917.4K  Premium: $9.4 (ASKSIDE)  Spot: 77.69,0.296,Neutral
58,2021-10-15,AAPL,$AAPL Key level to overcome.  https://t.co/8MYRVuTZcU,0.0,Neutral
59,2021-10-15,ROKU,$ROKU Sweeper Alert 🧹  285 x  19NOV21 330C = $535.8K  Premium: $18.79 (ASKSIDE)  Spot: 326.08,0.296,Neutral
60,2021-10-15,NIO,$NIO Inverse head and shoulders breakout.  https://t.co/y5s4BR9oys,0.0,Neutral
61,2021-10-15,SNAP,"$SNAP There is the rip, more buying in the 79C today.  https://t.co/yMyz4rNfe0",0.0,Neutral
62,2021-10-15,XPEV,$XPEV Seeing some profit taking in the 42C (which makes sense) but they are adding in the 46C and 47C 👀  https://t.co/m7yk3KicFs,0.2382,Neutral
63,2021-10-15,AMD,$AMD Put/Call: 47K/127K,0.0,Neutral
64,2021-10-15,XPEV,$XPEV Put/Call: 5.3K/27.5K,0.0,Neutral
65,2021-10-15,SNAP,"$SNAP Sweepers in this name are a different breed, relentless to say the least. They picked an interesting spot to add more exposure today.  https://t.co/6YlV5vKRis",0.4404,Neutral
66,2021-10-15,CHWY,DISCLAIMER: HIGH RISK #LottoFriday  Keep bets small. Lock in gains.  $CHWY 64C &gt;63.87 | 62P &lt;62.37 $NFLX 640C &gt;637.66 | 625P &lt;630.45 $NIO 37C &gt;36.68 | 35P &lt;35.6 $ROKU 335C &gt;334.11  325P &lt;328.21  Good luck!  https://t.co/lhxYFk4Ksa,0.6965,Positive
67,2021-10-15,NFLX,DISCLAIMER: HIGH RISK #LottoFriday  Keep bets small. Lock in gains.  $CHWY 64C &gt;63.87 | 62P &lt;62.37 $NFLX 640C &gt;637.66 | 625P &lt;630.45 $NIO 37C &gt;36.68 | 35P &lt;35.6 $ROKU 335C &gt;334.11  325P &lt;328.21  Good luck!  https://t.co/lhxYFk4Ksa,0.6965,Positive
68,2021-10-15,NIO,DISCLAIMER: HIGH RISK #LottoFriday  Keep bets small. Lock in gains.  $CHWY 64C &gt;63.87 | 62P &lt;62.37 $NFLX 640C &gt;637.66 | 625P &lt;630.45 $NIO 37C &gt;36.68 | 35P &lt;35.6 $ROKU 335C &gt;334.11  325P &lt;328.21  Good luck!  https://t.co/lhxYFk4Ksa,0.6965,Positive
69,2021-10-15,ROKU,DISCLAIMER: HIGH RISK #LottoFriday  Keep bets small. Lock in gains.  $CHWY 64C &gt;63.87 | 62P &lt;62.37 $NFLX 640C &gt;637.66 | 625P &lt;630.45 $NIO 37C &gt;36.68 | 35P &lt;35.6 $ROKU 335C &gt;334.11  325P &lt;328.21  Good luck!  https://t.co/lhxYFk4Ksa,0.6965,Positive
70,2021-10-15,NFLX,$NFLX Thinking about taking that next leg higher.  https://t.co/KKuPWiKCjl,0.0,Neutral
71,2021-10-15,AMD,"$AMD Right at the supply level, decision time.  https://t.co/TSsvgKsm3C",0.0,Neutral
72,2021-10-15,SPAC,"Friday's Top 3 SPAC Targets is out now!  This week's focus is on 5G/Fiber...covering land, sea and air. Although ""air"" is technically space...Check it out. This one is a fun read with really interesting targets. #SPAC $SPAC    https://t.co/RjW9FU3Hxs",0.8118,Positive
73,2021-10-15,ADER,"Deal Announcement!  26 Capital $ADER to combine with Okada Manila, an integrated gaming resort in the Phillippines, for $2.6bn in enterprise value. #SPAC    https://t.co/R03AWtXmaV",0.4003,Neutral
74,2021-10-14,HZAC,Horizon $HZAC deal gets a PIPE investment from DraftKings $DKNG ahead of combo with Vivid Seats   https://t.co/jmZd8Yicn3,0.0,Neutral
75,2021-10-14,DKNG,Horizon $HZAC deal gets a PIPE investment from DraftKings $DKNG ahead of combo with Vivid Seats   https://t.co/jmZd8Yicn3,0.0,Neutral
76,2021-10-14,ACEV,"Deal Announcement!  Ace Convergence $ACEV to combine with Tempo Automation Inc., ""a software-accelerated electronics manufacturer"", for $919M equity value.   https://t.co/jz6ODaEjFU",0.4003,Neutral
77,2021-10-13,PPGH,New Podcast out now!  This week we speak with Gogoro Co-founder &amp; CEO @Horaceluke and Poema CEO Homer Sun $PPGH. We discussed the future of mobility in the middle of the EV revolution and their battery swapping model. Give it a listen! @WeAreGogoro #SPAC    https://t.co/qP74Zr5Z1p,0.0,Neutral
78,2021-10-13,RBAC,Deal Announcement!  Seat Geek confirmed!   To combine with Redball Acquisition Corp. $RBAC for $1.35 bn enterprise value.   https://t.co/fFFOgfo2kO,0.2924,Neutral
79,2021-10-12,DUNE,Deal Announcement  Dune $DUNE to combine with TradeZero for $556M EV.   https://t.co/y5FOofzoY3,0.0,Neutral
80,2021-10-11,PPGH,@BBbojangles @WeAreGogoro @BillSPACman @SpacGuru @SpacBobby @SpacTiger @spacanpanman We have a new podcast coming out on Wednesday with Gogoro...you'll want to listen in. $PPGH,0.0772,Neutral
81,2021-10-09,RBAC,"@PPLongspacking @SPAC_Sozzi @Spac_Beattie @ClaytonNicholas Haha.  I think people were burned on Lucid rumors. Not going to make that mistake again. Plus, $RBAC has had rumored deals before and that didn't pan out. So I'm sure there's some skepticism.",0.2911,Neutral
82,2021-10-09,RBAC,"Well, well, well...Redball $RBAC confirms negotiations with Seatgeek and guess who already had it as a Top 3 SPAC pick?  We did...for our Live Events focus.  SPACInsider team scores another! @SPAC_Sozzi @Spac_Beattie @ClaytonNicholas    https://t.co/y0ck31uGtl",0.6476,Positive
83,2021-10-07,NGAB,Embark released the webcast of their analyst day.  You can find the link here:  https://t.co/Sw31g5cesz  @Embarktrucks is the target company of Northern Genesis II $NGAB,0.0,Neutral
84,2021-10-07,FMAC,"Deal Announcement!   FirstMark Horizon $FMAC to combine with Starry, a ""next generation fixed wireless technology developer and internet provider"" for $1.66bn EV.   https://t.co/OM5BRGOhvG",0.0,Neutral
85,2021-10-06,SNII,"Deal Announcement!  Supernova Partners II $SNII to combine with Rigetti Computing, ""a pioneer in full-stack quantum computing"" for $1.5 bn. Rigetti introduced its scalable superconducting chips in June 2021. #SPAC    https://t.co/78St9JoBRN",0.0,Neutral
86,2021-10-17,PSFE,Did you give up on $PSFE / ⁦@PaySAFE⁩ already? Well #DavidTepper hasn’t   https://t.co/ILUPCkdVf1,0.2732,Neutral
87,2021-10-17,DM,$DM / ⁦@DesktopMetal⁩ Qualifies Nickel Alloy IN625 for High-Volume Additive Manufacturing With the Production System  https://t.co/kxMsRDYtZs,0.0,Neutral
88,2021-10-17,HYPR,@Stumpjumper88 @Hyperfine @LiminalSciences It’s part of it with @Hyperfine to be $HYPR,0.0,Neutral
89,2021-10-16,RTPY,Aurora's autonomous trucks and taxis will be available to customers via subscription $RTPY  https://t.co/yFgkZG4Dtm,0.0,Neutral
90,2021-10-16,RTPY,Tangible Victory! $RTPY,0.0,Neutral
91,2021-10-15,PTRA,@singla_atul @60seconds16 @SPACtrack @stocktalkweekly @Doc_Steve_Brule There is money in those $PTRA calls,0.0,Neutral
92,2021-10-15,FTCV,#OT hey $FTCV / @eToro @eToroUS @eToroTeam why can’t I buy @solana $SOL?  I can buy $SHIB and $DOGE but no #Solana for me?  Can I get this unlocked in my account? $COIN /  @coinbase allows it. #Help  https://t.co/YfhmHPHAMx,0.316,Neutral
93,2021-10-15,SOL,#OT hey $FTCV / @eToro @eToroUS @eToroTeam why can’t I buy @solana $SOL?  I can buy $SHIB and $DOGE but no #Solana for me?  Can I get this unlocked in my account? $COIN /  @coinbase allows it. #Help  https://t.co/YfhmHPHAMx,0.316,Neutral
94,2021-10-15,SHIB,#OT hey $FTCV / @eToro @eToroUS @eToroTeam why can’t I buy @solana $SOL?  I can buy $SHIB and $DOGE but no #Solana for me?  Can I get this unlocked in my account? $COIN /  @coinbase allows it. #Help  https://t.co/YfhmHPHAMx,0.316,Neutral
95,2021-10-15,DOGE,#OT hey $FTCV / @eToro @eToroUS @eToroTeam why can’t I buy @solana $SOL?  I can buy $SHIB and $DOGE but no #Solana for me?  Can I get this unlocked in my account? $COIN /  @coinbase allows it. #Help  https://t.co/YfhmHPHAMx,0.316,Neutral
96,2021-10-15,COIN,#OT hey $FTCV / @eToro @eToroUS @eToroTeam why can’t I buy @solana $SOL?  I can buy $SHIB and $DOGE but no #Solana for me?  Can I get this unlocked in my account? $COIN /  @coinbase allows it. #Help  https://t.co/YfhmHPHAMx,0.316,Neutral
97,2021-10-15,ABCD,@singla_atul @60seconds16 @SPACtrack @stocktalkweekly @Doc_Steve_Brule When using call spreads I like to post like this. $ABCD DEC $10/$20 #Call spread cost me $0.90. I buy the $10 and sell the $20. It helps on both cost and fighting the theta decay. I also at times leg in. Buy the $10’s and when it trades higher sell the higher strike,0.2263,Neutral
98,2021-10-15,DNA,@RosenLab @DavidHallman4 @4Catalyzer @JMRothberg @Hyperfine @LiminalSciences @ButterflyNetInc @Quantum_Si I’ll be up soon. $DNA / @Ginkgo event and I need to make plans with $DM / @DesktopMetal as well. Maybe @BillSPACman and @JonahLupton may have interest too,0.6249,Positive
99,2021-10-15,DM,@RosenLab @DavidHallman4 @4Catalyzer @JMRothberg @Hyperfine @LiminalSciences @ButterflyNetInc @Quantum_Si I’ll be up soon. $DNA / @Ginkgo event and I need to make plans with $DM / @DesktopMetal as well. Maybe @BillSPACman and @JonahLupton may have interest too,0.6249,Positive
100,2021-10-15,IONQ,#boom $IONQ / @IonQ_Inc 🚂 all aboard,0.0258,Neutral
101,2021-10-15,LCID,@thehagueT @HangmanTrades @luminartech $LCID said in a presentation long ago they used their own in house #tech on the #lidar. I don’t remember where I read that?  Any one know where this was from?  https://t.co/rS0WlTewvq,0.0,Neutral
102,2021-10-15,DKNG,Horizon Acquisition Corp. Announces PIPE Investment by DraftKings $DKNG  https://t.co/oDvmAfMbAE,0.0,Neutral
103,2021-10-15,DM,5 Best 3D Printing Stocks To Buy. #spoilerAlert $DM / ⁦@DesktopMetal⁩ #5. Read why.   https://t.co/9FLu0Znc8t,0.6369,Positive
104,2021-10-15,LCID,"Lucid lidar, BMW iX preview, Honda avatar bot, peat for batteries: Today's Car News $LCID  https://t.co/4in31o7oaa",0.0,Neutral
105,2021-10-15,LCID,"Lucid Air's DreamDrive ADAS Suite Has LiDAR, 14 Cameras, And 32 Sensors For Future Proofing $LCID  https://t.co/DyLDWDd1lO",0.0,Neutral
106,2021-10-15,FSR,The Fisker PEAR Could Be Built Alongside The Lordstown Endurance At Foxconn's Ohio Plant $FSR $RIDE  https://t.co/RxX24I9TSi,0.0,Neutral
107,2021-10-15,RIDE,The Fisker PEAR Could Be Built Alongside The Lordstown Endurance At Foxconn's Ohio Plant $FSR $RIDE  https://t.co/RxX24I9TSi,0.0,Neutral
108,2021-10-15,LCID,Lucid Announces Extension of Redemption Date for its Public Warrants $LCID  https://t.co/Gxz2jGXtMW,0.0,Neutral
109,2021-10-15,HYPR,Why medical imaging is #growth industry? Let @JMRothberg tell you. 9/10 people in the world have “NO” access to medical imaging. @Hyperfine to be $HYPR  https://t.co/XMYk1iHXMb,0.3818,Neutral
110,2021-10-15,QSI,Had a $QSI demo &amp; also was checked for #covid #antibodies while we spoke. Shared time with “Ricky” who has a fund in Toronto while we discussed the differences between @Quantum_Si and companieslike @23andMe. Simply both have DNA 🧬 #QuantumSI protein sequencing. Big difference  https://t.co/7QUYDPoqqb,0.34,Neutral
111,2021-10-15,QSI,Ready for $QSI @Quantum_Si ? This one we had a long talk on the UI/UX making this not only accessible a next generation protein sequencing platform. But making its cartridge prep solution usable by unskilled people like me. Usually high tech has high training and usage barriers.  https://t.co/vYNV3GeqbO,0.7876,Positive
112,2021-10-15,BFLY,This is what anyone worldwide can see with an internet connection. #lifechanging #tech #affordable to people who never had this type of medical access. $BFLY #butterflyNetwork 🦋 @4Catalyzer @JMRothberg not my ❤️ mine is a Jarvik7 I should upgrade to a 7+?  https://t.co/7EJxAYsrKK,0.0,Neutral
113,2021-10-15,BFLY,Here is something you don’t see everyday. @JMRothberg has let each of his children in age order (from youngest up) ring the opening bell when his companies go public. They have not all rang a bell yet. $BFLY @ButterflyNetInc  https://t.co/F4PcwofwBU,0.0,Neutral
114,2021-10-15,BFLY,Who wants some $BFLY? @ButterflyNetInc display was another amazing demo. Real doctors in real-time showing the walls of the aorta🫀as well as many other scans of arteries with cloud sharing so anyone can have others look in &amp; help diagnose. @JMRothberg calls it the oldest sister.  https://t.co/GgmBPY6yIh,0.886,Positive
115,2021-10-15,HCAQ,Here is a different view of the @Hyperfine #MRI with @JMRothberg just hoping I didn’t break it!  Just kidding all was fine $HCAQ -&gt; $HYPR  https://t.co/U6FGoHsZLk,0.6476,Positive
116,2021-10-15,HYPR,Here is a different view of the @Hyperfine #MRI with @JMRothberg just hoping I didn’t break it!  Just kidding all was fine $HCAQ -&gt; $HYPR  https://t.co/U6FGoHsZLk,0.6476,Positive
117,2021-10-15,HACQ,Wow! @JMRothberg @Madonna &amp; The #StatueOfLiberty. What an amazingly collection of technology that makes the world a better place. @Hyperfine 1st portable #MRI machine #ProjectMalawi  https://t.co/OUAeW4otVq $HACQ $HYPR  https://t.co/vaNzCdKZ6l,0.7901,Positive
118,2021-10-15,HYPR,Wow! @JMRothberg @Madonna &amp; The #StatueOfLiberty. What an amazingly collection of technology that makes the world a better place. @Hyperfine 1st portable #MRI machine #ProjectMalawi  https://t.co/OUAeW4otVq $HACQ $HYPR  https://t.co/vaNzCdKZ6l,0.7901,Positive
119,2021-10-14,SV,$SV / Termination,0.0,Neutral
120,2021-10-14,SEAH,$SEAH / @betway,0.0,Neutral
121,2021-10-14,CIFR,Bought a NOV $6/$10 $CIFR call spread. $0.69 lotto ;) thx @ExcaliburTrade for the reminder. #Options #Risky Not Advice. What I did.  https://t.co/m88vSwrdy8,0.3818,Neutral
122,2021-10-14,ARVL,$ARVL / @arrival,0.0,Neutral
123,2021-10-14,NKLA,$NKLA,0.0,Neutral
124,2021-10-14,HYLN,$HYLN,0.0,Neutral
125,2021-10-14,LCID,"Lucid details DreamDrive ADAS platform, with 'conditional automated driving in coming years' $LCID  https://t.co/83YE2z1v3d",0.0,Neutral
126,2021-10-14,LILM,ABB Develops Chargers For Lilium Electric Airplanes $LILM  https://t.co/G3TnUAcvbn,0.0,Neutral
127,2021-10-14,GGPI,"Taking the Measure of the Polestar 1—a Gorgeous, Super-Fast Plug-In Hybrid $GGPI  https://t.co/I0bSbQrOyr",0.6124,Positive
128,2021-10-14,FSR,"$FSR Fisker Project Pear to be built in Ohio, pending close of Foxconn-Lordstown deal  https://t.co/pNF9tzp3mP",0.0,Neutral
129,2021-10-14,RTPY,$RTPY Aurora now expects to go public via SPAC and begin trading in November following successful shareholder vote  https://t.co/sT6rr6Hkr5,0.5859,Positive
130,2021-10-14,DNA,"$DNA Ginkgo Bioworks is on the forefront of a revolution, Raymond James says  https://t.co/KSRWKk109y",0.0,Neutral
131,2021-10-14,PTRA,$PTRA Massachusetts Electric School Bus Helps Power Electricity Grid In Breakthrough For Vehicle-to-Grid Technology ...  https://t.co/pEOejMFaB1,0.3818,Neutral
132,2021-10-14,ACEV,$ACEV,0.0,Neutral
133,2021-10-14,IONQ,$IONQ / @IonQ_Inc,0.0,Neutral
134,2021-10-14,CIFR,"I’m seeing a lot of $CIFR in my feed tonight. I’m not on this at all, should I be?  Why?  https://t.co/FgcoOype6u",0.0,Neutral
135,2021-10-14,CLOV,$CLOV,0.0,Neutral
136,2021-10-14,SEAH,@LeaderSpac @RobEducated @satorimind @spacanpanman @spac_insider I’m in $SEAH as well. @epgrubman / @betway seems kinda easy.,0.5729,Positive
137,2021-10-14,DM,@RobEducated @satorimind @spacanpanman @spac_insider $DM / @DesktopMetal #3Dprinting. $PTRA / @Proterra_Inc #EV busses backlogged customers. $IONQ / @IonQ_Inc #QuantumComputing 1st to market @NiccoloDeMasi deal. All currently under $10 a share. Not advice. 3 conviction plays I own in size (for me) in my retirement account.,0.4939,Neutral
138,2021-10-14,PTRA,@RobEducated @satorimind @spacanpanman @spac_insider $DM / @DesktopMetal #3Dprinting. $PTRA / @Proterra_Inc #EV busses backlogged customers. $IONQ / @IonQ_Inc #QuantumComputing 1st to market @NiccoloDeMasi deal. All currently under $10 a share. Not advice. 3 conviction plays I own in size (for me) in my retirement account.,0.4939,Neutral
139,2021-10-14,IONQ,@RobEducated @satorimind @spacanpanman @spac_insider $DM / @DesktopMetal #3Dprinting. $PTRA / @Proterra_Inc #EV busses backlogged customers. $IONQ / @IonQ_Inc #QuantumComputing 1st to market @NiccoloDeMasi deal. All currently under $10 a share. Not advice. 3 conviction plays I own in size (for me) in my retirement account.,0.4939,Neutral
140,2021-10-14,DM,@thetradingchick I agree $DM is a sleeping giant. Have not followed $HIMS,0.3612,Neutral
141,2021-10-14,HIMS,@thetradingchick I agree $DM is a sleeping giant. Have not followed $HIMS,0.3612,Neutral
142,2021-10-14,UTZ,Thx @MelStone31 $UTZ #Darkpool @BlackBoxStocks,0.3612,Neutral
143,2021-10-14,BFLY,"Tomorrow I will see the incredible world of @JMRothberg &amp; the collection of #Technologies 🧲🦠🦋🧠💊👁️ $BFLY, $QSI, &amp; $HCAQ 🔜 $HYPR @ButterflyNetInc @Quantum_Si @Hyperfine @liminalsciences @Detecttest @HealthTesseract @AITherapeutics  https://t.co/Jnm62Yh6GJ Q: What should I ask?  https://t.co/eGxiLNV1iC",0.0,Neutral
144,2021-10-14,QSI,"Tomorrow I will see the incredible world of @JMRothberg &amp; the collection of #Technologies 🧲🦠🦋🧠💊👁️ $BFLY, $QSI, &amp; $HCAQ 🔜 $HYPR @ButterflyNetInc @Quantum_Si @Hyperfine @liminalsciences @Detecttest @HealthTesseract @AITherapeutics  https://t.co/Jnm62Yh6GJ Q: What should I ask?  https://t.co/eGxiLNV1iC",0.0,Neutral
