,Unnamed: 0,date,ticker,TWEETS,Vader Sentiment,Vader Analysis
33,33,2021-08-31,PXLW,$PXLW ... a new addition to the PEG watchlist this month.   Showing good Accumulation Volume last few days and today it's printing an INSIDE DAY candle. Worth watching this one going into tomorrow and rest of the week.   Targets: $8  https://t.co/8M06LBSBmW,0.5859,Positive
34,34,2021-08-31,NVDA,@MJohnston1221 @Miagi66459754 $NVDA ... targets $240 to $250,0.0,Neutral
35,35,2021-08-31,NUE,$NUE ... pulling back a bit today with the rest of the Steel makers.   Testing the 20 day MA here... look for buyers to step back into this one tomorrow. A break over $123.50 could ignite this mini bull flag  https://t.co/ZtacF9eaAI,0.0,Neutral
36,36,2021-08-31,UPST,$UPST ... showing very good relative strength and momentum since the recent PEG  https://t.co/zQyf35b9h1,0.7688,Positive
37,37,2021-08-31,LC,@TraderAmogh Strong momo in this one!   take a look at $LC as well .... think this one is setting up similar after the recent PEG  https://t.co/OnQbgOYiQl,0.69,Positive
38,38,2021-08-31,DOCS,"Opened red, went green and just floored it, pedal to the metal full speed ahead ....  $DOCS  https://t.co/L3byTwq7kA",0.0,Neutral
39,39,2021-08-31,SNAP,$SNAP from last week's watchlist... showing good relative strength here.  https://t.co/aiUgBN2wq9,0.7269,Positive
40,40,2021-08-31,NVAX,$NVAX... good relative strength in a weak tape. See if it takes out this mini consolidation pattern  https://t.co/ahsD1kybsT,0.4939,Neutral
41,41,2021-08-31,DOCS,$DOCS showing good relative strength early in the session after printing two consecutive hammer candles  https://t.co/4HjZaOPKwj,0.7269,Positive
42,42,2021-08-30,ETSY,@KunalRa62936859 Posted $ETSY chart late last week.   Look for that tweet. Awesome setup,0.6249,Positive
43,43,2021-08-30,TSLA,$TSLA... peaking his head over the trench  https://t.co/gLNJbPwaYE,0.0,Neutral
44,44,2021-08-30,NCTY,$NCTY ... starting something?  https://t.co/VNBGPR1QF4,0.0,Neutral
45,45,2021-08-30,NUE,$NUE ... picking up some strength here  https://t.co/YFiaaIlXak,0.4939,Neutral
46,46,2021-08-30,AMZN,$AMZN ... bounce phase continues to press higher... and now climbing into that late July gap  https://t.co/ytjI1ixp52,0.0,Neutral
47,47,2021-08-30,AAPL,$AAPL breaking out here(finally)  https://t.co/3diNJs5VxR,0.0,Neutral
48,48,2021-08-30,AMD,Strong open   $AMD  https://t.co/XNam813z9G,0.5106,Positive
49,49,2021-08-28,NFLX,"@DMarbz $NFLX has been stuck in this massive, almost 2 year range!  When it's ready to breakout and really go, I can see the stock hit $700 or more!  https://t.co/9ZrIDA8siA",0.2695,Neutral
50,50,2021-08-28,ROKU,$ROKU ... still trying to wiggle itself out of this steep wedge   Still targeting $400 to $420  https://t.co/t29YF3o7vH,0.0,Neutral
51,51,2021-08-28,NUE,$NUE ... a leading name in the Steel sector... Setting up a beautiful lil bull flag here.   targets: $140 to $150  https://t.co/GT8qKIseFl,0.5994,Positive
52,52,2021-08-27,DVAX,$DVAX ... starting to show hints it's ready for a quick pullback phase  https://t.co/g7a37tLWti,0.3612,Neutral
53,53,2021-08-27,AAPL,That $AAPL bull flag keeps getting nicer and nicer ... only a matter of time  https://t.co/blT7FDSVDt,0.7096,Positive
54,54,2021-08-27,U,"@gary31860828 Both $U and $BVHN , look quite good here.   If you are in, I would keep holding",0.4927,Neutral
55,55,2021-08-27,BVHN,"@gary31860828 Both $U and $BVHN , look quite good here.   If you are in, I would keep holding",0.4927,Neutral
56,56,2021-08-27,NCTY,@deltasierrapapa $NCTy is the ultimate choppy stock... but there's a clear base building here.   It will probably take off when no one is looking at it!,0.2244,Neutral
57,57,2021-08-27,NVDA,@piroumian I would keep holding $NVDA   Looks headed to at least $250  https://t.co/KuOyiTTjYp,0.0,Neutral
58,58,2021-08-27,AMD,@GMGenji1 I'd continue to hold this $AMD,0.0,Neutral
59,59,2021-08-27,CROX,@Bryce_Nowlin Still love this $CROX idea!   Posted a few setups in this one a couple weeks ago,0.6696,Positive
60,60,2021-08-27,DVAX,Unless $DVAX pulls off what $SPRT did this week.... The stock($DVAX) is looking quite extended here and thinking a small pullback or a few days to consolidate into a bull flag is soon in order after a +50% move this week!  https://t.co/r5R5W5AkJP,0.0,Neutral
61,61,2021-08-27,SPRT,Unless $DVAX pulls off what $SPRT did this week.... The stock($DVAX) is looking quite extended here and thinking a small pullback or a few days to consolidate into a bull flag is soon in order after a +50% move this week!  https://t.co/r5R5W5AkJP,0.0,Neutral
62,62,2021-08-27,DOCS,"$DOCS ... after hitting all targets for this week, the stock got a ""downgrade"" yesterday....  Stock dropped to retest the breakout area and reversed smartly off support. Printing a nice hammer here! Look for a continuation higher going into next week.   New Targets: $95 to $100  https://t.co/bTIx0Ul7Jj",0.807,Positive
63,63,2021-08-27,DKNG,Several fellow traders asking for a $DKNG Chart request  My views on this one hasn't changed too much since the last June tweet...  Best to look at $DKNG from a weekly charts perspective!  Broke out recently and this week printing another breakout candle.  Targets: low $70s  https://t.co/mRjQPLqNE3,0.1511,Neutral
64,64,2021-08-27,DKNG,Several fellow traders asking for a $DKNG Chart request  My views on this one hasn't changed too much since the last June tweet...  Best to look at $DKNG from a weekly charts perspective!  Broke out recently and this week printing another breakout candle.  Targets: low $70s  https://t.co/mRjQPLqNE3,0.1511,Neutral
65,65,2021-08-27,NCTY,"If this $NCTY is gonna breakout, today is the day to do it ...   Volatile, speculative play but could make a big move if the breakout turns legit  https://t.co/yFIXwYqRKH",0.2263,Neutral
66,66,2021-08-27,AMD,$AMD breaking out  https://t.co/gO549TvsCn,0.0,Neutral
67,67,2021-08-27,AMD,Watch $AMD closely today and Monday  https://t.co/BYv62bVQZX,0.0,Neutral
68,68,2021-08-26,AMD,$AMD ... very tight price contraction last 3 days. Looking for a big move(price expansion) as early as tomorrow in this one  https://t.co/CZ1WF71y7W,0.0,Neutral
69,69,2021-08-26,ETSY,$ETSY ... good looking breakout here  https://t.co/gUpH3yEwrJ,0.4404,Neutral
70,70,2021-08-26,DVAX,This $DVAX has been just relentless....   Up over +50% this week.  https://t.co/OajRE43Ue0,0.0516,Neutral
71,71,2021-08-26,SKIN,$SKIN... pretty much at that $25 target today  https://t.co/Ixtb0dpMyS,0.4939,Neutral
72,72,2021-08-26,ROKU,There's that $ROKU reversal  https://t.co/ZRTv172JTL,0.0,Neutral
73,73,2021-08-25,BGFV,@TheReal_Msh94 Beautiful Wedge breakout in $BGFV ! Nice find  https://t.co/3ZCUy7DW2b,0.7901,Positive
74,74,2021-08-25,VXRT,@chartgoat You knew I was going to love this $VXRT chart !!   Good find dude,0.8264,Positive
75,75,2021-08-25,DVAX,"$DVAX ... relentless, every intra-day dip has been bought this week  https://t.co/mop9s7zmJx",0.0516,Neutral
76,76,2021-08-25,POWW,@MattSimone7 RGR trades quite thin on volume. NOT a big fan of that.    However $POWW is very good here. Forming a funky looking CUP AND HANDLE PATTERN here. Good overall volume patterns.  $SWBI is definitely my favorite of the 3  https://t.co/7KMkVo6lzg,0.8566,Positive
77,77,2021-08-25,SWBI,@MattSimone7 RGR trades quite thin on volume. NOT a big fan of that.    However $POWW is very good here. Forming a funky looking CUP AND HANDLE PATTERN here. Good overall volume patterns.  $SWBI is definitely my favorite of the 3  https://t.co/7KMkVo6lzg,0.8566,Positive
78,78,2021-08-25,NCTY,This one is looking more and more interesting ....  $NCTY  https://t.co/Xut06vmY8h,0.5034,Positive
79,79,2021-08-25,SWBI,$SWBI  ... keep an eye on this one next few days. A stock that's been steadily basing and contracting sideways for weeks.  Looks about ready to climb out of that basing pattern.  Targets $35 and $40  https://t.co/JZYlu8Oegv,0.3612,Neutral
80,80,2021-08-25,NVAX,Nice strong snap back after yesterday's pullback   $NVAX  https://t.co/8lTLYYx6mY,0.7269,Positive
81,81,2021-08-25,DOCS,$DOCS ... achieved all targets  https://t.co/X4EmpvoQQA,0.0,Neutral
82,82,2021-08-25,BMBL,"@CBOSSSSS @EliAlfa Lovely find, Chris!   Bottoming so nicely here ... $BMBL  https://t.co/XzcA5ClfXt",0.8331,Positive
83,83,2021-08-25,ATVI,"@EliAlfa Hi Eliyahu  $ATVI isn't showing anything too interesting at this moment in time... Give it more time or wait for a good catalyst, i.e. a PEG(Power Earnings Gap)",0.6808,Positive
84,84,2021-08-25,CLOV,@Johnny31764487 If $CLOV breaks over $10 this week... it'll probably go wild,0.0,Neutral
85,85,2021-08-25,DVAX,Targets achieved on this $DVAX  https://t.co/djtreyVRFD,0.0,Neutral
86,86,2021-08-25,CLOV,@RespectTheTrend Looks like a squeeze is starting in $clov,0.3612,Neutral
87,87,2021-08-25,COOK,"@404_errorer $cook is still a new stock, recent ipo I believe.   I'd give it a few more days for more price data to come out and give us more to look at!   They do make awesome grills tho!!",0.7163,Positive
88,88,2021-08-25,HUYA,@kingofthecopy Another speculative play in $HUYA...  looks to be mustering up a bounce after the big decline. Looks oversold enough for a multi-day bounce,0.4215,Neutral
89,89,2021-08-25,NCTY,$NCTY ... this one is obviously quite speculative ... but hard to ignore the recent Accumulation Volume patterns. Short interest is on the higher side.   Might be watching purely for a squeeze play next few days.  https://t.co/CFL865AEmR,0.5569,Positive
90,90,2021-08-25,PINS,@CAS5582 $PINS chart got hit pretty good on the last earnings report. I'd give it some time to repair some of the damage.,0.4404,Neutral
91,91,2021-08-24,RSI,@peee90 $RSI falls in that category. Good pick up in accumulation volume patterns. Would be even better if short interest was much higher,0.8316,Positive
92,92,2021-08-24,NVAX,"$NVAX .... retraced to settle at some short term support here. Tends to be a choppy mover. The sort of stock to buy on dips(not on strength), imo  https://t.co/Fw7foAyLhA",0.7096,Positive
93,93,2021-09-02,OMQS,Watching $OMQS,0.0,Neutral
94,94,2021-09-01,CEI,"$CEI average .51  swinging with @LadeBackk for $2+. Don’t give us crap if it hits $1 and you don’t sell. Your body, your choice. I like this stock.",-0.0258,Neutral
95,95,2021-08-28,ZOM,I told bitchboy I was in the stock he was trashing. $ZOM was under .20 At the time and it hit $2+ later. Don’t let emotions run your life.  https://t.co/BSu8aFNzjB,0.0,Neutral
96,96,2021-08-28,ZOM,@rafibomb_ $ZOM hit $2+ after,0.0,Neutral
97,97,2021-08-28,BBIG,$BBIG boys don’t cry @Hugh_Henne  https://t.co/7wint2FK4a,-0.4767,Neutral
98,98,2021-08-23,VVOS,Good morning. $VVOS on watch for a flush today.,0.4404,Neutral
99,99,2021-08-20,BBIG,$BBIG 08/20 09:23 AM ZING BBIG EXCLUSIVE: Zash Chair Calls $5B Valuation For Lomotif 'Conservative',0.3034,Neutral
100,100,2021-09-02,STPC,"📢 $STPC - Benson Hill  Merger meeting: 🗓️September 28, 2021   https://t.co/SLcZ83oflw",0.0,Neutral
101,101,2021-09-02,CHAQ,"🏁 $CHAQ - Renovacor   ✅$CHAQ Announces Stockholder Approval Of Business Combination With Renovacor, Inc.   $CHAQ 🔜 $RCOR 🗓️September 2, 2021   https://t.co/P4BkdxCkzc",0.4767,Neutral
102,102,2021-09-02,CHAQ,"🏁 $CHAQ - Renovacor   ✅$CHAQ Announces Stockholder Approval Of Business Combination With Renovacor, Inc.   $CHAQ 🔜 $RCOR 🗓️September 2, 2021   https://t.co/P4BkdxCkzc",0.4767,Neutral
103,103,2021-09-02,RCOR,"🏁 $CHAQ - Renovacor   ✅$CHAQ Announces Stockholder Approval Of Business Combination With Renovacor, Inc.   $CHAQ 🔜 $RCOR 🗓️September 2, 2021   https://t.co/P4BkdxCkzc",0.4767,Neutral
104,104,2021-09-02,GNPK,"🏁 $GNPK - Redwire  ✅ $GNPK and Redwire Announce Shareholder Approval of the Business Combination   $GNPK 🔜 $RDW 🗓️September 3, 2021   https://t.co/DmyhwKIGSe",0.4767,Neutral
105,105,2021-09-02,GNPK,"🏁 $GNPK - Redwire  ✅ $GNPK and Redwire Announce Shareholder Approval of the Business Combination   $GNPK 🔜 $RDW 🗓️September 3, 2021   https://t.co/DmyhwKIGSe",0.4767,Neutral
106,106,2021-09-02,GNPK,"🏁 $GNPK - Redwire  ✅ $GNPK and Redwire Announce Shareholder Approval of the Business Combination   $GNPK 🔜 $RDW 🗓️September 3, 2021   https://t.co/DmyhwKIGSe",0.4767,Neutral
107,107,2021-09-02,RDW,"🏁 $GNPK - Redwire  ✅ $GNPK and Redwire Announce Shareholder Approval of the Business Combination   $GNPK 🔜 $RDW 🗓️September 3, 2021   https://t.co/DmyhwKIGSe",0.4767,Neutral
108,108,2021-09-01,LCID,📉 $LCID down -10% pre-market 642K volume  PIPE unlock is today,0.0,Neutral
109,109,2021-09-01,INDI,$INDI  indie Semiconductor to Acquire TeraXion for $159M  Expected to Close in Q4 2021   https://t.co/7hhA6dpOJn,0.0,Neutral
110,110,2021-08-31,SV,"🏁 $SV - AeroFarms  ✅Spring Valley Announces Shareholder Approval of Business Combination with AeroFarms  Expected close: 🗓️September 24, 2021  $SV 🔜 $ARFM   https://t.co/PrUwTbxp45",0.4767,Neutral
111,111,2021-08-31,SV,"🏁 $SV - AeroFarms  ✅Spring Valley Announces Shareholder Approval of Business Combination with AeroFarms  Expected close: 🗓️September 24, 2021  $SV 🔜 $ARFM   https://t.co/PrUwTbxp45",0.4767,Neutral
112,112,2021-08-31,ARFM,"🏁 $SV - AeroFarms  ✅Spring Valley Announces Shareholder Approval of Business Combination with AeroFarms  Expected close: 🗓️September 24, 2021  $SV 🔜 $ARFM   https://t.co/PrUwTbxp45",0.4767,Neutral
113,113,2021-08-30,PTK,"📢 $PTK - Valens merger meeting announced  🗓️September 28, 2021    https://t.co/o9HSk2IBPu",0.0,Neutral
114,114,2021-08-27,BLUW,🏁 $BLUW - Clarus Therapeutics   $BLUW Announces Stockholder Approval of Business Combination   A total of 3.2M shares of common stock were presented for redemption. There will be approximately $25.29M remaining in the trust account following redemptions.   https://t.co/xlKXW1fLPk,0.8344,Positive
115,115,2021-08-27,BLUW,🏁 $BLUW - Clarus Therapeutics   $BLUW Announces Stockholder Approval of Business Combination   A total of 3.2M shares of common stock were presented for redemption. There will be approximately $25.29M remaining in the trust account following redemptions.   https://t.co/xlKXW1fLPk,0.8344,Positive
116,116,2021-08-27,BLDE,"$BLDE price update   Credit Suisse analyst Stephen Ju initiated Blade Air Mobility Inc (NASDAQ:BLDE) with an Outperform rating and $14 price target, implying an upside of 67.5%.",0.3818,Neutral
117,117,2021-08-27,DFNS,"🏁 $DFNS - IronNet   ✅ $DFNS Announces Stockholder Approval for and Closing of Business Combination with IronNet Cybersecurity, Inc.  $DFNS 🔜 $IRNT 🗓️ August 27, 2021   https://t.co/A07q3IuDTR",0.4767,Neutral
118,118,2021-08-27,DFNS,"🏁 $DFNS - IronNet   ✅ $DFNS Announces Stockholder Approval for and Closing of Business Combination with IronNet Cybersecurity, Inc.  $DFNS 🔜 $IRNT 🗓️ August 27, 2021   https://t.co/A07q3IuDTR",0.4767,Neutral
119,119,2021-08-27,DFNS,"🏁 $DFNS - IronNet   ✅ $DFNS Announces Stockholder Approval for and Closing of Business Combination with IronNet Cybersecurity, Inc.  $DFNS 🔜 $IRNT 🗓️ August 27, 2021   https://t.co/A07q3IuDTR",0.4767,Neutral
120,120,2021-08-27,IRNT,"🏁 $DFNS - IronNet   ✅ $DFNS Announces Stockholder Approval for and Closing of Business Combination with IronNet Cybersecurity, Inc.  $DFNS 🔜 $IRNT 🗓️ August 27, 2021   https://t.co/A07q3IuDTR",0.4767,Neutral
121,121,2021-08-26,CLOV,"📢 $CLOV extension of warrant redemption   🗓️Extended until September 9, 2021   https://t.co/FkqHQZUIa0",0.0,Neutral
122,122,2021-08-26,SNPR,"🏁 $SNPR - Volta Charging   ✅ $SNPR Announces Shareholder Approval of Business Combination with Volta Industries, Inc.  $SNPR 🔜 $VLTA 🗓️August 27, 2021   https://t.co/N5zjv7YkML",0.4767,Neutral
123,123,2021-08-26,SNPR,"🏁 $SNPR - Volta Charging   ✅ $SNPR Announces Shareholder Approval of Business Combination with Volta Industries, Inc.  $SNPR 🔜 $VLTA 🗓️August 27, 2021   https://t.co/N5zjv7YkML",0.4767,Neutral
124,124,2021-08-26,SNPR,"🏁 $SNPR - Volta Charging   ✅ $SNPR Announces Shareholder Approval of Business Combination with Volta Industries, Inc.  $SNPR 🔜 $VLTA 🗓️August 27, 2021   https://t.co/N5zjv7YkML",0.4767,Neutral
125,125,2021-08-26,VLTA,"🏁 $SNPR - Volta Charging   ✅ $SNPR Announces Shareholder Approval of Business Combination with Volta Industries, Inc.  $SNPR 🔜 $VLTA 🗓️August 27, 2021   https://t.co/N5zjv7YkML",0.4767,Neutral
126,126,2021-08-25,GWAC,"🏁 $GWAC - Cipher Mining  $GWAC and Cipher Mining Announce Shareholder Approval of the Business Combination   $GWAC 🔜 $CIFR 🗓️August 26, 2021   https://t.co/COuROlSC2Y",0.4767,Neutral
127,127,2021-08-25,GWAC,"🏁 $GWAC - Cipher Mining  $GWAC and Cipher Mining Announce Shareholder Approval of the Business Combination   $GWAC 🔜 $CIFR 🗓️August 26, 2021   https://t.co/COuROlSC2Y",0.4767,Neutral
128,128,2021-08-25,GWAC,"🏁 $GWAC - Cipher Mining  $GWAC and Cipher Mining Announce Shareholder Approval of the Business Combination   $GWAC 🔜 $CIFR 🗓️August 26, 2021   https://t.co/COuROlSC2Y",0.4767,Neutral
129,129,2021-08-25,CIFR,"🏁 $GWAC - Cipher Mining  $GWAC and Cipher Mining Announce Shareholder Approval of the Business Combination   $GWAC 🔜 $CIFR 🗓️August 26, 2021   https://t.co/COuROlSC2Y",0.4767,Neutral
130,130,2021-08-23,LIVK,"🏁 $LIVK - Agile Thought  ✅AgileThought Announces Completion of Business Combination with LIV Capital Acquisition Corp.  $LIVK 🔜 $AGIL 🗓️August 24, 2021    https://t.co/2SdVlZiywW",0.0,Neutral
131,131,2021-08-23,LIVK,"🏁 $LIVK - Agile Thought  ✅AgileThought Announces Completion of Business Combination with LIV Capital Acquisition Corp.  $LIVK 🔜 $AGIL 🗓️August 24, 2021    https://t.co/2SdVlZiywW",0.0,Neutral
132,132,2021-08-23,AGIL,"🏁 $LIVK - Agile Thought  ✅AgileThought Announces Completion of Business Combination with LIV Capital Acquisition Corp.  $LIVK 🔜 $AGIL 🗓️August 24, 2021    https://t.co/2SdVlZiywW",0.0,Neutral
133,133,2021-08-21,LOKB,"📢 $LOKB - Navitas deadline extension  $LOKB Extends Tender Offer Related to Business Combination with Navitas Until 11:59 p.m., 🗓️September 17, 2021    https://t.co/Ao70vo8PRq",0.128,Neutral
134,134,2021-08-21,LOKB,"📢 $LOKB - Navitas deadline extension  $LOKB Extends Tender Offer Related to Business Combination with Navitas Until 11:59 p.m., 🗓️September 17, 2021    https://t.co/Ao70vo8PRq",0.128,Neutral
135,135,2021-08-20,MUDS,❌ $MUDS announces termination of merger agreement with Topps    https://t.co/mASyppkwXj,0.4939,Neutral
136,136,2021-08-20,STEM,"📢 $STEM warrant redemption  Stem Issues Notice of Redemption for Public Warrants  The last day of trading will be the immediately preceding trading day, which is expected to be🗓️Friday, September 17, 2021.   https://t.co/rlwm8PnvNP",0.0,Neutral
137,137,2021-08-20,THCA,@iknowYo04120480 @ajitosu $THCA has an upcoming meeting on September 28 to extend the deadline    https://t.co/WvsbpRjzpY,0.1779,Neutral
138,138,2021-08-19,NGAC,"🏁 $NGAC - Xos  ✅NextGen Acquisition Corporation Shareholders Approve Business Combination with Xos  $NGAC 🔜 $XOS 🗓️August 20, 2021   https://t.co/HqgGruhZ9M",0.0,Neutral
139,139,2021-08-19,NGAC,"🏁 $NGAC - Xos  ✅NextGen Acquisition Corporation Shareholders Approve Business Combination with Xos  $NGAC 🔜 $XOS 🗓️August 20, 2021   https://t.co/HqgGruhZ9M",0.0,Neutral
140,140,2021-08-19,XOS,"🏁 $NGAC - Xos  ✅NextGen Acquisition Corporation Shareholders Approve Business Combination with Xos  $NGAC 🔜 $XOS 🗓️August 20, 2021   https://t.co/HqgGruhZ9M",0.0,Neutral
141,141,2021-08-19,ACIC,"📢 $ACIC - Archer meeting to approve merger  🗓️September 14, 2021    https://t.co/ujSuiwWRYa",0.0,Neutral
142,142,2021-08-18,INDI,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn,0.0,Neutral
143,143,2021-08-18,OPEN,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn,0.0,Neutral
144,144,2021-08-18,OPEN,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn,0.0,Neutral
145,145,2021-08-18,INDI,George Soros' latest investments include two deSPACs: $INDI and $OPEN  His current holdings: $OPEN $28M $INDI $23M   https://t.co/ob03yLHJWn,0.0,Neutral
146,146,2021-08-18,ADF,"📢 $ADF entered into a definitive agreement with Hagerty, automotive insurance platform.   💵Pro forma enterprise value of $3.13B  Press release:  https://t.co/txCMvU42pd  https://t.co/WdeUHoT6HD",0.6808,Positive
147,147,2021-08-12,NBA,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn",0.0,Neutral
148,148,2021-08-12,NBA,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn",0.0,Neutral
149,149,2021-08-12,NBA,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn",0.0,Neutral
150,150,2021-08-12,MIMO,"🏁 $NBA - Airspan Networks  ✅ $NBA Stockholders Approve Business Combination with Airspan Networks Inc.  🗓️Expected close: August 13, 2021   $NBA 🔜 $MIMO    https://t.co/OT5oIv3XEn",0.0,Neutral
151,151,2021-08-10,ROSS,📢 $ROSS is in talks with Gan Systems. producer of Gallium Nitride high power switching diodes and transistors for clean tech power conversion applications.   https://t.co/FVqNTmVR56,0.4019,Neutral
