,date,ticker,TWEETS
37,2021-08-31,LC,@TraderAmogh Strong momo in this one!   take a look at $LC as well .... think this one is setting up similar after the recent PEG  https://t.co/OnQbgOYiQl
38,2021-08-31,DOCS,"Opened red, went green and just floored it, pedal to the metal full speed ahead ....  $DOCS  https://t.co/L3byTwq7kA"
39,2021-08-31,SNAP,$SNAP from last week's watchlist... showing good relative strength here.  https://t.co/aiUgBN2wq9
40,2021-08-31,NVAX,$NVAX... good relative strength in a weak tape. See if it takes out this mini consolidation pattern  https://t.co/ahsD1kybsT
41,2021-08-31,DOCS,$DOCS showing good relative strength early in the session after printing two consecutive hammer candles  https://t.co/4HjZaOPKwj
42,2021-08-30,ETSY,@KunalRa62936859 Posted $ETSY chart late last week.   Look for that tweet. Awesome setup
43,2021-08-30,TSLA,$TSLA... peaking his head over the trench  https://t.co/gLNJbPwaYE
44,2021-08-30,NCTY,$NCTY ... starting something?  https://t.co/VNBGPR1QF4
45,2021-08-30,NUE,$NUE ... picking up some strength here  https://t.co/YFiaaIlXak
46,2021-08-30,AMZN,$AMZN ... bounce phase continues to press higher... and now climbing into that late July gap  https://t.co/ytjI1ixp52
47,2021-08-30,AAPL,$AAPL breaking out here(finally)  https://t.co/3diNJs5VxR
48,2021-08-30,AMD,Strong open   $AMD  https://t.co/XNam813z9G
49,2021-08-28,NFLX,"@DMarbz $NFLX has been stuck in this massive, almost 2 year range!  When it's ready to breakout and really go, I can see the stock hit $700 or more!  https://t.co/9ZrIDA8siA"
50,2021-08-28,ROKU,$ROKU ... still trying to wiggle itself out of this steep wedge   Still targeting $400 to $420  https://t.co/t29YF3o7vH
51,2021-08-28,NUE,$NUE ... a leading name in the Steel sector... Setting up a beautiful lil bull flag here.   targets: $140 to $150  https://t.co/GT8qKIseFl
52,2021-08-27,DVAX,$DVAX ... starting to show hints it's ready for a quick pullback phase  https://t.co/g7a37tLWti
53,2021-08-27,AAPL,That $AAPL bull flag keeps getting nicer and nicer ... only a matter of time  https://t.co/blT7FDSVDt
54,2021-08-27,U,"@gary31860828 Both $U and $BVHN , look quite good here.   If you are in, I would keep holding"
55,2021-08-27,BVHN,"@gary31860828 Both $U and $BVHN , look quite good here.   If you are in, I would keep holding"
56,2021-08-27,NCTY,@deltasierrapapa $NCTy is the ultimate choppy stock... but there's a clear base building here.   It will probably take off when no one is looking at it!
57,2021-08-27,NVDA,@piroumian I would keep holding $NVDA   Looks headed to at least $250  https://t.co/KuOyiTTjYp
58,2021-08-27,AMD,@GMGenji1 I'd continue to hold this $AMD
59,2021-08-27,CROX,@Bryce_Nowlin Still love this $CROX idea!   Posted a few setups in this one a couple weeks ago
60,2021-08-27,DVAX,Unless $DVAX pulls off what $SPRT did this week.... The stock($DVAX) is looking quite extended here and thinking a small pullback or a few days to consolidate into a bull flag is soon in order after a +50% move this week!  https://t.co/r5R5W5AkJP
61,2021-08-27,SPRT,Unless $DVAX pulls off what $SPRT did this week.... The stock($DVAX) is looking quite extended here and thinking a small pullback or a few days to consolidate into a bull flag is soon in order after a +50% move this week!  https://t.co/r5R5W5AkJP
62,2021-08-27,DOCS,"$DOCS ... after hitting all targets for this week, the stock got a ""downgrade"" yesterday....  Stock dropped to retest the breakout area and reversed smartly off support. Printing a nice hammer here! Look for a continuation higher going into next week.   New Targets: $95 to $100  https://t.co/bTIx0Ul7Jj"
63,2021-08-27,DKNG,Several fellow traders asking for a $DKNG Chart request  My views on this one hasn't changed too much since the last June tweet...  Best to look at $DKNG from a weekly charts perspective!  Broke out recently and this week printing another breakout candle.  Targets: low $70s  https://t.co/mRjQPLqNE3
64,2021-08-27,DKNG,Several fellow traders asking for a $DKNG Chart request  My views on this one hasn't changed too much since the last June tweet...  Best to look at $DKNG from a weekly charts perspective!  Broke out recently and this week printing another breakout candle.  Targets: low $70s  https://t.co/mRjQPLqNE3
65,2021-08-27,NCTY,"If this $NCTY is gonna breakout, today is the day to do it ...   Volatile, speculative play but could make a big move if the breakout turns legit  https://t.co/yFIXwYqRKH"
66,2021-08-27,AMD,$AMD breaking out  https://t.co/gO549TvsCn
67,2021-08-27,AMD,Watch $AMD closely today and Monday  https://t.co/BYv62bVQZX
68,2021-08-26,AMD,$AMD ... very tight price contraction last 3 days. Looking for a big move(price expansion) as early as tomorrow in this one  https://t.co/CZ1WF71y7W
69,2021-08-26,ETSY,$ETSY ... good looking breakout here  https://t.co/gUpH3yEwrJ
70,2021-08-26,DVAX,This $DVAX has been just relentless....   Up over +50% this week.  https://t.co/OajRE43Ue0
71,2021-08-26,SKIN,$SKIN... pretty much at that $25 target today  https://t.co/Ixtb0dpMyS
72,2021-08-26,ROKU,There's that $ROKU reversal  https://t.co/ZRTv172JTL
73,2021-08-25,BGFV,@TheReal_Msh94 Beautiful Wedge breakout in $BGFV ! Nice find  https://t.co/3ZCUy7DW2b
74,2021-08-25,VXRT,@chartgoat You knew I was going to love this $VXRT chart !!   Good find dude
75,2021-08-25,DVAX,"$DVAX ... relentless, every intra-day dip has been bought this week  https://t.co/mop9s7zmJx"
76,2021-08-25,POWW,@MattSimone7 RGR trades quite thin on volume. NOT a big fan of that.    However $POWW is very good here. Forming a funky looking CUP AND HANDLE PATTERN here. Good overall volume patterns.  $SWBI is definitely my favorite of the 3  https://t.co/7KMkVo6lzg
77,2021-08-25,SWBI,@MattSimone7 RGR trades quite thin on volume. NOT a big fan of that.    However $POWW is very good here. Forming a funky looking CUP AND HANDLE PATTERN here. Good overall volume patterns.  $SWBI is definitely my favorite of the 3  https://t.co/7KMkVo6lzg
78,2021-08-25,NCTY,This one is looking more and more interesting ....  $NCTY  https://t.co/Xut06vmY8h
79,2021-08-25,SWBI,$SWBI  ... keep an eye on this one next few days. A stock that's been steadily basing and contracting sideways for weeks.  Looks about ready to climb out of that basing pattern.  Targets $35 and $40  https://t.co/JZYlu8Oegv
80,2021-08-25,NVAX,Nice strong snap back after yesterday's pullback   $NVAX  https://t.co/8lTLYYx6mY
81,2021-08-25,DOCS,$DOCS ... achieved all targets  https://t.co/X4EmpvoQQA
82,2021-08-25,BMBL,"@CBOSSSSS @EliAlfa Lovely find, Chris!   Bottoming so nicely here ... $BMBL  https://t.co/XzcA5ClfXt"
83,2021-08-25,ATVI,"@EliAlfa Hi Eliyahu  $ATVI isn't showing anything too interesting at this moment in time... Give it more time or wait for a good catalyst, i.e. a PEG(Power Earnings Gap)"
84,2021-08-25,CLOV,@Johnny31764487 If $CLOV breaks over $10 this week... it'll probably go wild
85,2021-08-25,DVAX,Targets achieved on this $DVAX  https://t.co/djtreyVRFD
86,2021-08-25,CLOV,@RespectTheTrend Looks like a squeeze is starting in $clov
87,2021-08-25,COOK,"@404_errorer $cook is still a new stock, recent ipo I believe.   I'd give it a few more days for more price data to come out and give us more to look at!   They do make awesome grills tho!!"
88,2021-08-25,HUYA,@kingofthecopy Another speculative play in $HUYA...  looks to be mustering up a bounce after the big decline. Looks oversold enough for a multi-day bounce
89,2021-08-25,NCTY,$NCTY ... this one is obviously quite speculative ... but hard to ignore the recent Accumulation Volume patterns. Short interest is on the higher side.   Might be watching purely for a squeeze play next few days.  https://t.co/CFL865AEmR
90,2021-08-25,PINS,@CAS5582 $PINS chart got hit pretty good on the last earnings report. I'd give it some time to repair some of the damage.
91,2021-08-24,RSI,@peee90 $RSI falls in that category. Good pick up in accumulation volume patterns. Would be even better if short interest was much higher
92,2021-08-24,NVAX,"$NVAX .... retraced to settle at some short term support here. Tends to be a choppy mover. The sort of stock to buy on dips(not on strength), imo  https://t.co/Fw7foAyLhA"
93,2021-09-02,OMQS,Watching $OMQS
94,2021-09-01,CEI,"$CEI average .51  swinging with @LadeBackk for $2+. Don’t give us crap if it hits $1 and you don’t sell. Your body, your choice. I like this stock."
95,2021-08-28,ZOM,I told bitchboy I was in the stock he was trashing. $ZOM was under .20 At the time and it hit $2+ later. Don’t let emotions run your life.  https://t.co/BSu8aFNzjB
96,2021-08-28,ZOM,@rafibomb_ $ZOM hit $2+ after
97,2021-08-28,BBIG,$BBIG boys don’t cry @Hugh_Henne  https://t.co/7wint2FK4a
98,2021-08-23,VVOS,Good morning. $VVOS on watch for a flush today.
99,2021-08-20,BBIG,$BBIG 08/20 09:23 AM ZING BBIG EXCLUSIVE: Zash Chair Calls $5B Valuation For Lomotif 'Conservative'
